Round,01_A,01_B_C(2),01_D_E(2),01_C1_C2(2),02_A,02_B_C(2),02_D_E(2),02_C1_C2(2),03_A,03_B_C(2),03_D_E(2),03_C1_C2(2),04_A,04_B_C(2),04_D_E(2),04_C1_C2(2),05_A,05_B_C(2),05_D_E(2),05_C1_C2(2),06_A,06_B_C(2),06_D_E(2),06_C1_C2(2),07_A,07_B_C(2),07_D_E(2),07_C1_C2(2),08_A,08_B_C(2),08_D_E(2),08_C1_C2(2),09_A,09_B_C(2),09_D_E(2),09_C1_C2(2),10_A,10_B_C(2),10_D_E(2),10_C1_C2(2),11_A,11_B_C(2),11_D_E(2),11_C1_C2(2),12_A,12_B_C(2),12_D_E(2),12_C1_C2(2),13_A,13_B_C(2),13_D_E(2),13_C1_C2(2),14_A,14_B_C(2),14_D_E(2),14_C1_C2(2)
Points,9,7,10,2,10,0,5,9,4,9,0,0,4,7,5,6,9,7,6,6,10,1,10,4,4,9,4,5,5,5,0,2,10,0,6,0,2,5,10,3,8,5,2,5,3,8,7,8,2,8,5,0,4,2,8,8
1,495,293,22,466,7,280,324,2,338,284,170,68,185,468,492,8,362,6,104,205,191,418,399,377,405,353,343,416,497,440,426,81,315,341,500,243,431,18,479,500,473,167,125,252,40,176,81,98,315,91,85,129,252,97,233,45
2,505,299,22,475,7,286,330,2,345,290,173,69,189,477,502,8,369,6,106,209,195,426,407,385,413,360,350,424,507,449,435,83,321,348,510,248,440,18,489,510,482,170,128,257,41,180,83,100,321,93,87,132,257,99,238,46
3,515,305,23,485,7,291,337,2,352,295,177,71,192,487,512,8,377,6,108,213,199,435,415,392,421,367,357,433,517,458,443,84,328,355,520,253,448,19,498,520,492,174,130,262,42,183,84,102,328,95,88,134,262,101,242,47
4,525,311,23,495,7,297,344,2,359,301,180,72,196,497,522,8,384,6,110,218,203,444,423,400,430,375,364,441,527,467,452,86,334,362,531,258,457,19,508,531,502,177,133,267,42,187,86,104,334,97,90,137,267,103,247,48
5,536,317,24,504,8,303,351,2,366,307,184,74,200,507,533,9,392,6,113,222,207,452,432,408,438,382,371,450,538,476,461,88,341,369,541,263,467,19,518,541,512,181,135,273,43,191,88,106,341,99,92,140,273,105,252,49
6,547,323,24,515,8,309,358,2,373,314,188,75,204,517,543,9,400,7,115,226,211,462,441,416,447,390,379,459,549,486,470,89,348,376,552,268,476,20,529,552,522,184,138,278,44,194,89,108,348,100,94,142,278,107,257,50
7,557,330,25,525,8,315,365,2,381,320,191,77,208,527,554,9,408,7,117,231,215,471,449,425,456,398,386,468,560,496,480,91,355,384,563,274,485,20,539,563,533,188,141,284,45,198,91,110,355,102,96,145,284,109,262,51
8,569,337,25,535,8,322,372,2,388,326,195,78,213,538,565,9,416,7,119,235,219,480,458,433,465,405,394,478,571,505,489,93,362,392,574,279,495,21,550,574,543,192,144,289,46,202,93,113,362,105,98,148,289,111,268,52
9,580,343,26,546,8,328,380,2,396,333,199,80,217,548,576,9,424,7,122,240,224,490,467,442,475,414,402,487,582,516,499,95,369,400,586,285,505,21,561,586,554,196,146,295,47,206,95,115,369,107,100,151,295,114,273,53
10,592,350,26,557,8,335,387,2,404,339,203,81,221,559,588,10,433,7,124,245,228,500,477,451,484,422,410,497,594,526,509,97,376,408,598,290,515,22,572,598,565,200,149,301,48,210,97,117,376,109,102,154,301,116,278,54
