startterminal,checkout,checkin,total
31901,8,44,52
31702,115,92,207
31706,177,98,275
31701,164,125,289
31700,215,113,328
31052,132,208,340
31046,241,210,451
31806,265,224,489
31803,244,252,496
31705,255,264,519
31804,300,266,566
31703,236,339,575
31045,386,450,836
31805,405,473,878
31051,508,457,965
31707,538,518,1056
31050,578,506,1084
31210,621,620,1241
31802,644,739,1383
31708,701,741,1442
31049,744,713,1457
31044,645,814,1459
31801,768,779,1547
31043,750,885,1635
31032,799,841,1640
31041,656,1021,1677
31040,861,842,1703
31047,1057,845,1902
31042,832,1127,1959
31026,1060,945,2005
31501,1081,1033,2114
31038,1208,983,2191
31000,1411,1079,2490
31048,1448,1082,2530
31036,1486,1436,2922
31502,1577,1378,2955
31028,1909,1186,3095
31027,1721,1445,3166
31004,1653,1584,3237
31507,1854,1392,3246
31033,1887,1455,3342
31005,1615,1755,3370
31039,1845,1664,3509
31029,1988,1702,3690
31034,1957,1989,3946
31035,2088,1913,4001
31031,2273,1746,4019
31012,2387,1857,4244
31025,2163,2137,4300
31508,2292,2127,4419
31018,2690,1839,4529
31019,2600,2291,4891
31021,2843,2068,4911
31013,2351,2594,4945
31003,2470,2603,5073
31402,3001,2287,5288
31023,2852,2441,5293
31016,3017,2374,5391
31030,3335,2466,5801
31504,3129,2773,5902
31020,3327,2649,5976
31008,3099,3336,6435
31006,3238,3203,6441
31001,3465,3606,7071
31037,3809,3326,7135
31500,3609,3541,7150
31112,3605,3892,7497
31022,4305,3449,7754
31304,5129,2774,7903
31211,3770,4336,8106
31024,4383,3772,8155
31010,3741,4491,8232
31011,3547,4735,8282
31301,5143,3146,8289
31306,6129,2644,8773
31209,4124,4690,8814
31404,5293,3801,9094
31207,5298,3822,9120
31601,4482,4729,9211
31250,4785,4516,9301
31002,4263,5103,9366
31253,5048,4773,9821
31252,5059,4998,10057
31505,5217,4923,10140
31617,5122,5394,10516
31009,4794,5811,10605
31255,5092,5517,10609
31258,5654,5373,11027
31254,6266,5843,12109
31017,6992,5119,12111
31302,8312,4424,12736
31300,7495,5348,12843
31608,6383,6736,13119
31303,8457,4759,13216
31256,6329,6999,13328
31226,7443,5929,13372
31609,5933,8077,14010
31307,8351,5790,14141
31115,8761,5448,14209
31401,8278,6247,14525
31015,6890,8715,15605
31206,8021,7673,15694
31251,8512,8066,16578
31305,8896,7778,16674
31626,9067,8563,17630
31625,9363,9371,18734
31257,9369,9583,18952
31007,10881,8923,19804
31607,10136,10260,20396
31621,10489,10603,21092
31249,11428,11103,22531
31615,10808,11855,22663
31208,10649,12018,22667
31400,13052,9679,22731
31606,11856,11862,23718
31614,10974,13049,24023
31628,11607,12575,24182
31100,13119,11775,24894
31014,11068,14131,25199
31236,12302,12947,25249
31224,13113,13262,26375
31109,13158,13947,27105
31244,12590,14593,27183
31616,13283,14241,27524
31506,13727,13985,27712
31611,13136,15244,28380
31612,15084,14149,29233
31113,17328,12207,29535
31218,14561,15044,29605
31503,14837,15146,29983
31204,15174,15088,30262
31220,15022,15326,30348
31245,15471,14906,30377
31242,15847,14770,30617
31216,15153,15518,30671
31622,15701,15269,30970
31215,12428,18613,31041
31227,16193,15254,31447
31240,15856,16230,32086
31102,18623,13747,32370
31217,16159,16711,32870
31233,16692,16761,33453
31234,15984,17632,33616
31221,16605,17546,34151
31238,16521,17658,34179
31620,16000,18192,34192
31231,16092,18352,34444
31107,19847,15098,34945
31248,17450,17914,35364
31108,16751,18758,35509
31605,17798,17989,35787
31618,18341,17678,36019
31610,18449,18022,36471
31105,21448,15382,36830
31604,18806,18946,37752
31246,17410,20402,37812
31219,17282,21115,38397
31243,18741,20219,38960
31116,19162,19983,39145
31213,19771,21015,40786
31223,21096,20341,41437
31602,23575,18287,41862
31222,20731,21277,42008
31202,20587,21672,42259
31603,20763,21766,42529
31237,21209,22559,43768
31235,20966,23073,44039
31225,19051,25027,44078
31111,21751,22759,44510
31106,23520,21112,44632
31103,28731,16779,45510
31619,24371,22766,47137
31600,24014,24871,48885
31212,23590,25433,49023
31239,24742,25444,50186
31110,26076,26020,52096
31247,25986,26387,52373
31230,26067,28512,54579
31203,26550,28113,54663
31624,26735,28968,55703
31205,26482,29264,55746
31228,26182,29730,55912
31232,26671,29876,56547
31104,32754,26640,59394
31229,32070,33695,65765
31613,33348,32715,66063
31241,34144,32834,66978
31101,33503,34893,68396
31214,35753,38682,74435
31201,41319,47278,88597
31623,45991,47729,93720
31200,58601,65332,123933
